Premier League
1,Liverpool,14,11,2,1,29,11,+18,35,87.58
2,Chelsea,14,8,4,2,31,15,+16,28,79.49
3,Arsenal,14,8,4,2,28,14,+14,28,75.63
4,Man City,15,8,3,4,27,21,+6,27,71.62
5,Nottm Forest,15,7,4,4,19,18,+1,25,58.09
6,Aston Villa,15,7,4,4,23,23,0,25,57.78
7,Brentford,15,7,2,6,31,28,+3,23,57.75
8,Brighton,14,6,5,3,23,20,+3,23,56.64
9,Fulham,14,6,4,4,21,19,+2,22,53.84
10,Bournemouth,14,6,3,5,21,19,+2,21,52.73
11,Tottenham,14,6,2,6,28,15,+13,20,52.27
12,Newcastle,15,5,5,5,19,21,-2,20,52.11
13,Man Utd,15,5,4,6,19,18,+1,19,50.04
14,West Ham,14,4,3,7,18,27,-9,15,44.70
15,Everton,14,3,5,6,14,21,-7,14,41.56
16,Crystal Palace,15,2,7,6,14,20,-6,13,39.15
17,Leicester,14,3,4,7,19,28,-9,13,34.57
18,Ipswich,14,1,6,7,13,25,-12,9,33.69
19,Wolves,14,2,3,9,22,36,-14,9,28.58
20,Southampton,15,1,2,12,11,31,-20,5,22.64

Serie A
1,Atalanta,15,11,1,3,38,17,+21,34,84.09
2,Napoli,14,10,2,2,21,9,+12,32,81.05
3,Inter,14,9,4,1,34,15,+19,31,73.96
4,Fiorentina,13,8,4,1,27,10,+17,28,69.81
5,Lazio,14,9,1,4,29,17,+12,28,68.60
6,Juventus,15,6,9,0,24,10,+14,27,68.42
7,Milan,14,6,4,4,24,16,+8,22,65.37
8,Bologna,14,5,7,2,20,18,+2,22,57.66
9,Udinese,14,5,2,7,16,21,-5,17,49.05
10,Empoli,14,3,7,4,10,14,-4,16,47.38
11,Roma,15,4,4,7,18,21,-3,16,45.27
12,Torino,15,4,4,7,16,20,-4,16,45.04
13,Parma,15,3,6,6,21,25,-4,15,40.68
14,Genoa,15,3,6,6,13,24,-11,15,39.64
15,Cagliari,14,3,5,6,15,24,-9,14,38.34
16,Lecce,15,3,4,8,8,26,-18,13,36.14
17,Verona,14,4,0,10,17,33,-16,12,36.06
18,Como,14,2,5,7,14,26,-12,11,35.76
19,Monza,14,1,7,6,12,17,-5,10,33.67
20,Venezia,14,2,2,10,11,25,-14,8,29.83

La Liga
1,Barcelona,17,12,2,3,50,19,+31,38,85.21
2,Real Madrid,16,11,3,2,34,13,+21,36,84.67
3,Atletico,15,9,5,1,26,8,+18,32,76.66
4,Athletic Club,16,8,5,3,24,15,+9,29,67.81
5,Villarreal,14,7,5,2,27,23,+4,26,64.70
6,Mallorca,17,7,3,7,16,20,-4,24,57.49
7,Osasuna,15,6,5,4,20,23,-3,23,56.52
8,Girona,16,6,4,6,22,23,-1,22,52.89
