premier-league
1,Liverpool,14,11,2,1,29,11,+18,35,87.51
2,Chelsea,14,8,4,2,31,15,+16,28,79.59
3,Arsenal,14,8,4,2,28,14,+14,28,76.42
4,Man City,14,8,2,4,25,19,+6,26,71.27
5,Brighton,14,6,5,3,23,20,+3,23,58.31
6,Fulham,14,6,4,4,21,19,+2,22,58.11
7,Nottm Forest,14,6,4,4,16,16,0,22,57.66
8,Aston Villa,14,6,4,4,22,23,-1,22,57.16
9,Bournemouth,14,6,3,5,21,19,+2,21,54.05
10,Tottenham,14,6,2,6,28,15,+13,20,53.91
11,Brentford,14,6,2,6,27,26,+1,20,52.62
12,Newcastle,14,5,5,4,17,17,0,20,50.08
13,Man Utd,14,5,4,5,17,15,+2,19,48.32
14,West Ham,14,4,3,7,18,27,-9,15,44.81
15,Everton,14,3,5,6,14,21,-7,14,41.44
16,Leicester,14,3,4,7,19,28,-9,13,39.16
17,Crystal Palace,14,2,6,6,12,18,-6,12,34.50
18,Ipswich,14,1,6,7,13,25,-12,9,33.75
19,Wolves,14,2,3,9,22,36,-14,9,28.66
20,Southampton,14,1,2,11,11,30,-19,5,23.23

serie-a
1,Atalanta,15,11,1,3,38,17,+21,34,84.14
2,Napoli,14,10,2,2,21,9,+12,32,81.14
3,Inter,14,9,4,1,34,15,+19,31,73.98
4,Fiorentina,13,8,4,1,27,10,+17,28,70.68
5,Lazio,14,9,1,4,29,17,+12,28,68.81
6,Juventus,14,6,8,0,22,8,+14,26,68.56
7,Milan,14,6,4,4,24,16,+8,22,65.35
8,Bologna,13,5,6,2,18,16,+2,21,57.36
9,Udinese,14,5,2,7,16,21,-5,17,47.99
10,Empoli,14,3,7,4,10,14,-4,16,47.58
11,Torino,14,4,3,7,16,20,-4,15,45.22
12,Parma,15,3,6,6,21,25,-4,15,45.15
13,Cagliari,14,3,5,6,15,24,-9,14,41.13
14,Genoa,14,3,5,6,13,24,-11,14,39.59
15,Roma,14,3,4,7,14,20,-6,13,38.41
16,Lecce,14,3,4,7,7,22,-15,13,36.85
17,Verona,14,4,0,10,17,33,-16,12,35.81
18,Como,14,2,5,7,14,26,-12,11,35.79
19,Monza,14,1,7,6,12,17,-5,10,33.44
20,Venezia,14,2,2,10,11,25,-14,8,30.07

la-liga
1,Barcelona,16,12,1,3,48,17,+31,37,85.66
2,Real Madrid,15,10,3,2,31,13,+18,33,84.00
3,Atletico,15,9,5,1,26,8,+18,32,76.66
4,Athletic Club,16,8,5,3,24,15,+9,29,67.88
5,Villarreal,14,7,5,2,27,23,+4,26,64.62
6,Mallorca,17,7,3,7,16,20,-4,24,57.56
7,Osasuna,15,6,5,4,20,23,-3,23,57.42
8,Girona,15,6,4,5,22,20,+2,22,53.00
9,Real Sociedad,15,6,3,6,13,11,+2,21,51.67
10,Celta Vigo,16,6,3,7,25,27,-2,21,50.41
11,Betis,15,5,5,5,16,18,-2,20,47.99
12,Sevilla,15,5,4,6,14,19,-5,19,46.59
13,Vallecano,14,4,4,6,14,16,-2,16,42.44
14,Las Palmas,15,4,3,8,20,26,-6,15,41.29
15,Leganes,15,3,6,6,14,20,-6,15,40.77
16,Alaves,15,4,2,9,16,25,-9,14,38.97
17,Getafe,15,2,7,6,10,13,-3,13,38.49
18,Espanyol,14,4,1,9,15,27,-12,13,37.60
19,Valencia,13,2,4,7,13,21,-8,10,37.59
20,Valladolid,15,2,3,10,10,32,-22,9,29.85

bundesliga
1,Bayern Munchen,12,9,3,0,37,8,+29,30,77.14
2,Frankfurt,12,8,2,2,31,16,+15,26,69.39
3,Leverkusen,12,6,5,1,28,19,+9,23,63.50
4,Leipzig,12,6,3,3,19,14,+5,21,60.69
5,Dortmund,12,6,2,4,23,19,+4,20,57.97
6,Stuttgart,13,5,5,3,26,23,+3,20,54.97
7,Freiburg,12,6,2,4,16,16,0,20,49.38
8,Mainz 05,12,5,4,3,20,14,+6,19,47.71
9,Wolfsburg,12,5,3,4,25,19,+6,18,47.51
10,M'gladbach,12,5,2,5,18,17,+1,17,46.08
11,Union Berlin,13,4,4,5,12,14,-2,16,44.21
12,Bremen,12,4,4,4,19,24,-5,16,42.74
13,Augsburg,12,4,3,5,14,23,-9,15,38.65
14,Hoffenheim,12,3,3,6,17,24,-7,12,36.58
15,St. Pauli,12,3,2,7,10,15,-5,11,34.40
16,Heidenheim,12,3,1,8,15,24,-9,10,33.29
17,Holstein,12,1,2,9,13,31,-18,5,22.88
18,Bochum,12,0,2,10,10,33,-23,2,21.03

ligue-1
1,PSG,14,10,4,0,37,11,+26,34,77.16
2,Marseille,13,8,2,3,29,17,+12,26,64.21
3,Lille,14,7,5,2,24,14,+10,26,63.96
4,Monaco,13,8,2,3,22,12,+10,26,63.13
5,Lyon,13,6,4,3,23,17,+6,22,56.55
6,Nice,13,5,5,3,24,16,+8,20,54.01
7,Lens,13,5,5,3,15,12,+3,20,51.82
8,Auxerre,14,6,2,6,21,21,0,20,47.08
9,Reims,13,5,3,5,20,18,+2,18,46.08
10,Toulouse,13,5,3,5,15,14,+1,18,45.36
11,Brest,14,5,1,8,20,26,-6,16,42.91
12,Rennes,13,4,2,7,18,19,-1,14,42.46
13,Strasbourg,13,3,4,6,22,27,-5,13,38.76
14,Angers,13,3,4,6,14,21,-7,13,33.46
15,Saint-Etienne,13,4,1,8,11,30,-19,13,31.47
16,Le Havre,13,4,0,9,10,24,-14,12,30.45
17,Nantes,13,2,5,6,15,20,-5,11,30.45
18,Montpellier,13,2,2,9,13,34,-21,8,29.80

