premier-league
1,Liverpool,13,11,1,1,26,8,+18,34,88.84
2,Arsenal,13,7,4,2,26,14,+12,25,78.13
3,Chelsea,13,7,4,2,26,14,+12,25,75.85
4,Brighton,13,6,5,2,22,17,+5,23,70.17
5,Man City,13,7,2,4,22,19,+3,23,60.65
6,Nottm Forest,13,6,4,3,16,13,+3,22,60.01
7,Tottenham,13,6,2,5,28,14,+14,20,57.79
8,Brentford,13,6,2,5,26,23,+3,20,55.39
9,Man Utd,13,5,4,4,17,13,+4,19,55.37
10,Fulham,13,5,4,4,18,18,0,19,51.39
11,Newcastle,13,5,4,4,14,14,0,19,50.85
12,Aston Villa,13,5,4,4,19,22,-3,19,50.27
13,Bournemouth,13,5,3,5,20,19,+1,18,49.77
14,West Ham,14,4,3,7,18,27,-9,15,45.66
15,Leicester,14,3,4,7,19,28,-9,13,40.71
16,Crystal Palace,14,2,6,6,12,18,-6,12,36.98
17,Everton,13,2,5,6,10,21,-11,11,36.03
18,Wolves,13,2,3,8,22,32,-10,9,32.75
19,Ipswich,14,1,6,7,13,25,-12,9,29.02
20,Southampton,13,1,2,10,10,25,-15,5,24.17

serie-a
1,Napoli,14,10,2,2,21,9,+12,32,83.80
2,Atalanta,14,10,1,3,36,16,+20,31,79.58
3,Inter,13,8,4,1,31,14,+17,28,74.12
4,Fiorentina,13,8,4,1,27,10,+17,28,70.77
5,Lazio,14,9,1,4,29,17,+12,28,68.56
6,Juventus,14,6,8,0,22,8,+14,26,68.47
7,Milan,13,6,4,3,23,14,+9,22,65.92
8,Bologna,13,5,6,2,18,16,+2,21,57.20
9,Udinese,14,5,2,7,16,21,-5,17,48.61
10,Empoli,14,3,7,4,10,14,-4,16,47.80
11,Parma,14,3,6,5,20,22,-2,15,45.17
12,Torino,14,4,3,7,16,20,-4,15,44.73
13,Cagliari,14,3,5,6,15,24,-9,14,41.12
14,Genoa,14,3,5,6,13,24,-11,14,39.96
15,Roma,14,3,4,7,14,20,-6,13,38.66
16,Lecce,14,3,4,7,7,22,-15,13,36.89
17,Verona,14,4,0,10,17,33,-16,12,35.94
18,Como,14,2,5,7,14,26,-12,11,35.79
19,Monza,14,1,7,6,12,17,-5,10,33.39
20,Venezia,14,2,2,10,11,25,-14,8,30.17

la-liga
1,Barcelona,16,12,1,3,48,17,+31,37,86.33
2,Real Madrid,14,10,3,1,30,11,+19,33,84.76
3,Atlético,15,9,5,1,26,8,+18,32,76.84
4,Athletic Club,15,7,5,3,22,14,+8,26,65.35
5,Villarreal,14,7,5,2,27,23,+4,26,65.28
6,Mallorca,16,7,3,6,16,18,-2,24,58.02
7,Osasuna,15,6,5,4,20,23,-3,23,57.61
8,Girona,15,6,4,5,22,20,+2,22,53.05
9,Real Sociedad,15,6,3,6,13,11,+2,21,52.50
10,Betis,15,5,5,5,16,18,-2,20,50.37
11,Sevilla,15,5,4,6,14,19,-5,19,46.82
12,Celta Vigo,15,5,3,7,23,27,-4,18,45.75
13,Vallecano,14,4,4,6,14,16,-2,16,42.33
14,Las Palmas,15,4,3,8,20,26,-6,15,40.91
15,Leganés,15,3,6,6,14,20,-6,15,40.16
16,Alavés,15,4,2,9,16,25,-9,14,39.41
17,Getafe,15,2,7,6,10,13,-3,13,38.48
18,Espanyol,14,4,1,9,15,27,-12,13,38.27
19,Valencia,13,2,4,7,13,21,-8,10,37.69
20,Valladolid,15,2,3,10,10,32,-22,9,29.88

bundesliga
1,Bayern München,12,9,3,0,37,8,+29,30,77.07
2,Frankfurt,12,8,2,2,31,16,+15,26,69.29
3,Leverkusen,12,6,5,1,28,19,+9,23,64.15
4,Leipzig,12,6,3,3,19,14,+5,21,60.77
5,Dortmund,12,6,2,4,23,19,+4,20,57.57
6,Freiburg,12,6,2,4,16,16,0,20,54.01
7,Mainz 05,12,5,4,3,20,14,+6,19,49.94
8,Wolfsburg,12,5,3,4,25,19,+6,18,47.80
9,Stuttgart,12,4,5,3,23,21,+2,17,46.98
10,M'gladbach,12,5,2,5,18,17,+1,17,45.92
11,Union Berlin,12,4,4,4,10,11,-1,16,44.16
12,Bremen,12,4,4,4,19,24,-5,16,43.51
13,Augsburg,12,4,3,5,14,23,-9,15,38.48
14,Hoffenheim,12,3,3,6,17,24,-7,12,37.02
15,St. Pauli,12,3,2,7,10,15,-5,11,34.40
16,Heidenheim,12,3,1,8,15,24,-9,10,33.32
17,Holstein,12,1,2,9,13,31,-18,5,22.92
18,Bochum,12,0,2,10,10,33,-23,2,20.78

ligue-1
1,PSG,13,10,3,0,37,11,+26,33,78.34
2,Marseille,13,8,2,3,29,17,+12,26,64.48
3,Monaco,13,8,2,3,22,12,+10,26,63.12
4,Lille,13,6,5,2,21,13,+8,23,62.88
5,Lyon,13,6,4,3,23,17,+6,22,56.58
6,Nice,13,5,5,3,24,16,+8,20,54.02
7,Lens,13,5,5,3,15,12,+3,20,51.77
8,Auxerre,13,6,1,6,21,21,0,19,46.95
9,Reims,13,5,3,5,20,18,+2,18,46.92
10,Toulouse,13,5,3,5,15,14,+1,18,45.24
11,Brest,13,5,1,7,19,23,-4,16,42.88
12,Rennes,13,4,2,7,18,19,-1,14,42.05
13,Strasbourg,13,3,4,6,22,27,-5,13,38.69
14,Angers,13,3,4,6,14,21,-7,13,33.62
15,Saint-Étienne,13,4,1,8,11,30,-19,13,31.53
16,Le Havre,13,4,0,9,10,24,-14,12,30.45
17,Nantes,13,2,5,6,15,20,-5,11,30.42
18,Montpellier,13,2,2,9,13,34,-21,8,29.79

